"Időbélyeg","1. Mi a nemed?","2. Hány éves vagy?","3. Reggelizel iskolanapokon?","4. Naponta hányszor eszel zöldséget vagy gyümölcsöt?","5. Milyen gyakran fogyasztasz cukros üdítőt?","6. Hány pohár (kb. 2 dl) vizet iszol egy átlagos napon?","7. Milyen gyakran eszel gyorséttermi ételt vagy rendelt kaját?","8. Milyen gyakran mozogsz/sportolsz a testnevelési órán kívül?","9. Milyen mozgásformát űzől? (több válasz is megjelölhető)","10. Hány órát alszol egy átlagos iskolai éjszakán?","11. Naponta hány órát töltesz képernyő előtt szabadidődben (telefon, Pc, TV stb.)?","12. Milyen gyakran érzed magad fáradtnak napközben?","13. Fogyasztasz energiaitalt?","14. Egy 1-5-ös skálán mennyire tartod egészségesnek a saját életmódodat?","15. Honnan tájékozódsz egészséggel kapsolatos kérdésekben? (több válasz is megjelölhető)","16. Szeretnél változtatni életmódodon?"
"2026/08/28 4:36:55 du. GMT+3","Nő","18-19","Ritkán","2-3 alkalommal","Ritkán vagy soha","5-7","havonta 1-2 alkalommal","Szinte naponta","Futás;Más sport tevékenység ( itt nem felsorolt)","6 óránál kevesebbet","4-6 órát","Szinte minden nap","Soha","4","Közösségi média ( TikTok, Instagram, Youtube, X stb.)","Igen, és konkrét terveim is vannak"
"2026/08/28 4:49:40 du. GMT+3","Nő","14-15","Mindig","2-3 alkalommal","Hetente többször","3-4","Ritkán vagy soha","Szinte naponta","Futás;konditerem, erősítés;kerékpározás;Más sport tevékenység ( itt nem felsorolt)","6-7 órát","2-4 órát","Hetente többször","havonta néhányszor","3","Orvos, szakember","Igen, és konkrét terveim is vannak"
"2026/08/28 5:20:38 du. GMT+3","Nő","18-19","Mindig","1 alkalommal","Ritkán vagy soha","5-7","Ritkán vagy soha","Szinte soha","Séta, túrázás","6-7 órát","2 óránál kevesebbet","Ritkán","Soha","4","Szakmai weboldalak, cikkek","Nem, elégedett vagyok a jelenlegivel"
"2026/08/28 5:24:35 du. GMT+3","Nő","18-19","Mindig","2-3 alkalommal","Hetente egyszer","8 vagy több","Ritkán vagy soha","Szinte naponta","Futás;konditerem, erősítés;kerékpározás","7-8 órát","2-4 órát","Ritkán","Soha","4","Közösségi média ( TikTok, Instagram, Youtube, X stb.)","Nem, elégedett vagyok a jelenlegivel"
"2026/08/28 5:25:08 du. GMT+3","Nő","16-17","Mindig","2-3 alkalommal","Hetente egyszer","5-7","havonta 1-2 alkalommal","Szinte naponta","Futás;konditerem, erősítés;Más sport tevékenység ( itt nem felsorolt)","6-7 órát","4-6 órát","Szinte minden nap","Soha","4","Közösségi média ( TikTok, Instagram, Youtube, X stb.)","Nem, elégedett vagyok a jelenlegivel"
"2026/08/28 6:33:07 du. GMT+3","Férfi","16-17","Mindig","1 alkalommal","Naponta","5-7","Hetente egyszer","Szinte naponta","Futás;konditerem, erősítés;kerékpározás;Más sport tevékenység ( itt nem felsorolt)","7-8 órát","4-6 órát","Ritkán","Soha","3","Közösségi média ( TikTok, Instagram, Youtube, X stb.);Család, barátok","Igen, de nem tudom, hol kezdjem"
"2026/08/28 6:33:54 du. GMT+3","Nő","18-19","Mindig","2-3 alkalommal","Ritkán vagy soha","8 vagy több","Ritkán vagy soha","Hetente 3-4 alkalommal","Futás;konditerem, erősítés;kerékpározás;Séta, túrázás","6-7 órát","4-6 órát","Hetente többször","Soha","4","Közösségi média ( TikTok, Instagram, Youtube, X stb.);Orvos, szakember","Nem, elégedett vagyok a jelenlegivel"
"2026/08/28 7:06:29 du. GMT+3","Nő","18-19","Mindig","2-3 alkalommal","Ritkán vagy soha","8 vagy több","havonta 1-2 alkalommal","Szinte naponta","Futás;konditerem, erősítés;kerékpározás;Séta, túrázás;Más sport tevékenység ( itt nem felsorolt)","7-8 órát","6 óránál többet","Hetente többször","Soha","4","Közösségi média ( TikTok, Instagram, Youtube, X stb.);Család, barátok;Orvos, szakember;Szakmai weboldalak, cikkek","Igen, és konkrét terveim is vannak"
"2026/08/28 7:52:33 du. GMT+3","Nő","16-17","Gyakran","2-3 alkalommal","Ritkán vagy soha","5-7","Ritkán vagy soha","Szinte naponta","Futás;konditerem, erősítés;kerékpározás;Más sport tevékenység ( itt nem felsorolt)","7-8 órát","4-6 órát","Szinte minden nap","Soha","5","Család, barátok;Orvos, szakember","Nem, elégedett vagyok a jelenlegivel"
"2026/08/28 8:01:41 du. GMT+3","Nő","18-19","","1 alkalommal","Hetente többször","3-4","Hetente egyszer","Hetente 1-2 alkalommal","Séta, túrázás","6 óránál kevesebbet","4-6 órát","Hetente többször","havonta néhányszor","2","Család, barátok","Nem, elégedett vagyok a jelenlegivel"
"2026/08/28 8:11:50 du. GMT+3","Férfi","18-19","Gyakran","2-3 alkalommal","Hetente egyszer","8 vagy több","Hetente egyszer","Szinte naponta","Futás;kerékpározás","8 óránál többet","2-4 órát","Ritkán","havonta néhányszor","4","Közösségi média ( TikTok, Instagram, Youtube, X stb.);Orvos, szakember;Szakmai weboldalak, cikkek","Nem, elégedett vagyok a jelenlegivel"
"2026/08/28 8:15:23 du. GMT+3","Nő","18-19","Mindig","1 alkalommal","Ritkán vagy soha","5-7","Ritkán vagy soha","Hetente 1-2 alkalommal","Séta, túrázás","6-7 órát","2-4 órát","Ritkán","Soha","3","Család, barátok;Orvos, szakember","Igen, és konkrét terveim is vannak"
